Commodity,Unit,Minimum,Maximum,Average,Date
Tomato Big(Nepali),Kg,80,90,87,"July 22, 2023 A.D."
Tomato Small(Local),Kg,40,50,45,"July 22, 2023 A.D."
Tomato Small(Tunnel),Kg,60,70,65,"July 22, 2023 A.D."
Potato Red,Kg,50,52,51,"July 22, 2023 A.D."
Potato Red(Indian),Kg,36,38,37,"July 22, 2023 A.D."
Potato Red(Mude),Kg,40,42,41,"July 22, 2023 A.D."
Potato White,Kg,35,36,36,"July 22, 2023 A.D."
Onion Dry (Indian),Kg,50,52,51,"July 22, 2023 A.D."
Carrot(Local),Kg,120,140,130,"July 22, 2023 A.D."
Cabbage(Local),Kg,12,16,14,"July 22, 2023 A.D."
Cauli Local,Kg,80,90,85,"July 22, 2023 A.D."
Cauli Local(Jyapu),Kg,90,100,94,"July 22, 2023 A.D."
Raddish Red,Kg,30,40,35,"July 22, 2023 A.D."
Raddish White(Local),Kg,15,20,18,"July 22, 2023 A.D."
Raddish White(Hybrid),Kg,20,25,23,"July 22, 2023 A.D."
Brinjal Long,Kg,40,50,45,"July 22, 2023 A.D."
Brinjal Round,Kg,60,70,65,"July 22, 2023 A.D."
Cow pea(Long),Kg,40,50,46,"July 22, 2023 A.D."
Cowpea(Short),Kg,60,70,65,"July 22, 2023 A.D."
French Bean(Local),Kg,40,50,45,"July 22, 2023 A.D."
French Bean(Hybrid),Kg,50,60,55,"July 22, 2023 A.D."
French Bean(Rajma),Kg,70,80,77,"July 22, 2023 A.D."
Sword Bean,Kg,150,180,165,"July 22, 2023 A.D."
Soyabean Green,Kg,70,80,76,"July 22, 2023 A.D."
Bitter Gourd,Kg,50,60,55,"July 22, 2023 A.D."
Bottle Gourd,Kg,60,70,65,"July 22, 2023 A.D."
Pointed Gourd(Local),Kg,40,45,43,"July 22, 2023 A.D."
Snake Gourd,Kg,30,40,35,"July 22, 2023 A.D."
Smooth Gourd,Kg,30,40,35,"July 22, 2023 A.D."
Sponge Gourd,Kg,60,70,67,"July 22, 2023 A.D."
Pumpkin,Kg,40,45,43,"July 22, 2023 A.D."
Squash(Round),Kg,50,60,57,"July 22, 2023 A.D."
Okara,Kg,40,50,45,"July 22, 2023 A.D."
Arum,Kg,60,70,65,"July 22, 2023 A.D."
Christophine,Kg,50,60,55,"July 22, 2023 A.D."
Brd Leaf Mustard,Kg,80,90,86,"July 22, 2023 A.D."
Mustard Leaf,Kg,50,60,55,"July 22, 2023 A.D."
Onion Green,Kg,70,80,75,"July 22, 2023 A.D."
Mushroom(Kanya),Kg,170,200,186,"July 22, 2023 A.D."
Mushroom(Button),Kg,230,280,250,"July 22, 2023 A.D."
Asparagus,Kg,250,300,283,"July 22, 2023 A.D."
Neuro,Kg,70,80,75,"July 22, 2023 A.D."
Brocauli,Kg,90,100,97,"July 22, 2023 A.D."
Sugarbeet,Kg,90,100,97,"July 22, 2023 A.D."
Red Cabbbage,Kg,60,70,67,"July 22, 2023 A.D."
Lettuce,Kg,70,80,77,"July 22, 2023 A.D."
Celery,Kg,120,150,135,"July 22, 2023 A.D."
Parseley,Kg,300,400,350,"July 22, 2023 A.D."
Mint,Kg,120,150,135,"July 22, 2023 A.D."
Turnip A,Kg,70,80,77,"July 22, 2023 A.D."
Tamarind,Kg,130,140,137,"July 22, 2023 A.D."
Bamboo Shoot,Kg,110,120,116,"July 22, 2023 A.D."
Tofu,Kg,110,120,117,"July 22, 2023 A.D."
Apple(Fuji),Kg,350,400,375,"July 22, 2023 A.D."
Banana,Doz,150,160,157,"July 22, 2023 A.D."
Lime,Kg,150,180,165,"July 22, 2023 A.D."
Pomegranate,Kg,400,450,425,"July 22, 2023 A.D."
Mango(Maldah),Kg,150,160,157,"July 22, 2023 A.D."
Mango(Dushari),Kg,120,130,127,"July 22, 2023 A.D."
Mango(Calcutte),Kg,80,90,85,"July 22, 2023 A.D."
Grapes(Green),Kg,450,500,475,"July 22, 2023 A.D."
Grapes(Black),Kg,550,580,565,"July 22, 2023 A.D."
Water Melon(Green),Kg,80,90,87,"July 22, 2023 A.D."
Sweet Orange,Kg,220,250,235,"July 22, 2023 A.D."
Mandarin,Kg,250,260,255,"July 22, 2023 A.D."
Pineapple,1 Pc,150,180,165,"July 22, 2023 A.D."
Cucumber(Local),Kg,50,60,55,"July 22, 2023 A.D."
Cucumber(Hybrid),Kg,18,25,22,"July 22, 2023 A.D."
Jack Fruit,Kg,40,50,45,"July 22, 2023 A.D."
Pear(Local),Kg,70,80,77,"July 22, 2023 A.D."
Papaya(Indian),Kg,90,100,97,"July 22, 2023 A.D."
Kiwi,Kg,800,900,850,"July 22, 2023 A.D."
Avocado,Kg,500,600,550,"July 22, 2023 A.D."
Ginger,Kg,260,280,270,"July 22, 2023 A.D."
Chilli Dry,Kg,450,480,465,"July 22, 2023 A.D."
Chilli Green,Kg,150,170,158,"July 22, 2023 A.D."
Chilli Green(Bullet),Kg,160,180,170,"July 22, 2023 A.D."
Chilli Green(Machhe),Kg,50,60,56,"July 22, 2023 A.D."
Chilli Green(Akbare),Kg,250,300,275,"July 22, 2023 A.D."
Capsicum,Kg,70,80,76,"July 22, 2023 A.D."
Garlic Green,Kg,70,80,77,"July 22, 2023 A.D."
Coriander Green,Kg,80,100,92,"July 22, 2023 A.D."
Garlic Dry Chinese,Kg,270,280,275,"July 22, 2023 A.D."
Garlic Dry Nepali,Kg,210,220,217,"July 22, 2023 A.D."
Clive Dry,Kg,160,180,170,"July 22, 2023 A.D."
Fish Fresh(Rahu),Kg,310,320,316,"July 22, 2023 A.D."
Fish Fresh(Bachuwa),Kg,240,250,245,"July 22, 2023 A.D."
Fish Fresh(Chhadi),Kg,230,250,240,"July 22, 2023 A.D."
Fish Fresh(Mungari),Kg,320,330,327,"July 22, 2023 A.D."
